"","date","positive","negative","neutral"
"223","2021-08-11",1388,5052,8816
"224","2021-08-12",1457,5128,8092
"225","2021-08-13",1050,4792,7010
"226","2021-08-14",685,3018,4455
"227","2021-08-15",608,2805,4351
"228","2021-08-16",2204,6986,12355
"229","2021-08-17",1348,4962,8867
"230","2021-08-18",1299,4433,8817
"231","2021-08-19",1026,4093,6824
"232","2021-08-20",1568,7354,10889
"233","2021-08-21",1123,5290,8048
"234","2021-08-22",987,4723,7045
"235","2021-08-23",5235,12972,22491
"236","2021-08-24",5279,19780,30028
"237","2021-08-25",4053,17791,26293
"238","2021-08-26",2872,15971,21441
"239","2021-08-27",2599,11030,15417
"240","2021-08-28",2368,9868,15319
"241","2021-08-29",1677,7065,10247
"242","2021-08-30",1557,7513,10622
"243","2021-08-31",1137,5594,8166
"244","2021-09-01",982,4759,6879
"245","2021-09-02",613,3065,3867
"246","2021-09-03",969,3765,5305
"247","2021-09-04",609,2433,3681
"248","2021-09-05",545,2368,3208
"249","2021-09-06",452,1635,2528
"250","2021-09-07",474,1960,2916
"251","2021-09-08",702,2966,4781
"252","2021-09-09",1417,7595,10860
"253","2021-09-10",765,3661,5072
"254","2021-09-11",627,3086,5090
"255","2021-09-12",322,1575,2192
"256","2021-09-13",437,2217,3720
"257","2021-09-14",628,2642,4165
"258","2021-09-15",1386,7240,10377
"259","2021-09-16",1199,6423,9245
"260","2021-09-17",614,3052,4333
"261","2021-09-18",367,2164,3188
"262","2021-09-19",312,1844,2697
"263","2021-09-20",1117,3033,7340
"264","2021-09-21",538,2041,3621
"265","2021-09-22",900,3727,6227
"266","2021-09-23",849,3242,4576
"267","2021-09-24",366,1955,2819
"268","2021-09-25",260,1393,1992
"269","2021-09-26",148,791,1185
"270","2021-09-27",226,845,1491
"271","2021-09-28",285,1149,2940
"272","2021-09-29",529,1856,4015
"273","2021-09-30",3808,6707,15760
"274","2021-10-01",1397,3432,6148
"275","2021-10-02",755,1790,3438
"276","2021-10-03",462,1453,2347
"277","2021-10-04",447,1622,2869
"278","2021-10-05",393,1809,2650
"279","2021-10-06",223,1021,1649
"280","2021-10-07",246,846,1162
"281","2021-10-08",259,1023,1263
"282","2021-10-09",164,774,1023
"283","2021-10-10",58,429,422
"284","2021-10-11",92,437,549
"285","2021-10-12",116,557,719
"286","2021-10-13",153,739,982
"287","2021-10-14",1134,2909,5952
"288","2021-10-15",658,1668,3266
"289","2021-10-16",367,1026,1786
"290","2021-10-17",192,829,1197
"291","2021-10-18",208,1264,2334
"292","2021-10-19",190,829,1513
"293","2021-10-20",119,580,926
"294","2021-10-21",217,864,1779
"295","2021-10-22",223,1041,1751
"296","2021-10-23",77,439,654
"297","2021-10-24",34,281,254
"298","2021-10-25",198,964,1592
"299","2021-10-26",517,2493,4570
"300","2021-10-27",656,2367,4183
"301","2021-10-28",283,1169,1641
"302","2021-10-29",328,804,1528
"303","2021-10-30",207,658,1232
"304","2021-10-31",136,709,946
"305","2021-11-01",123,369,719
"306","2021-11-02",131,568,1090
"307","2021-11-03",88,431,817
"308","2021-11-04",164,574,1349
"309","2021-11-05",87,362,787
"310","2021-11-06",36,233,399
"311","2021-11-07",79,469,689
"312","2021-11-08",114,435,820
"313","2021-11-09",39,385,526
