"","date","positive","negative","neutral"
"246","2021/09/04",574,2505,3825
"247","2021/09/05",324,1514,2237
"248","2021/09/06",403,1791,3777
"249","2021/09/07",219,1490,2523
"250","2021/09/08",265,1534,2322
"251","2021/09/09",316,1931,3431
"252","2021/09/10",278,1631,2652
"253","2021/09/11",650,3522,7868
"254","2021/09/12",425,2936,4618
"255","2021/09/13",481,2607,4903
"256","2021/09/14",741,2848,5236
"257","2021/09/15",440,2065,3884
"258","2021/09/16",523,2604,4993
"259","2021/09/17",581,2567,5025
"260","2021/09/18",286,1345,2732
"261","2021/09/19",171,819,1890
"262","2021/09/20",1415,3868,10460
"263","2021/09/21",617,1887,4107
"264","2021/09/22",712,2181,5139
"265","2021/09/23",752,2011,4426
"266","2021/09/24",659,1921,3591
"267","2021/09/25",348,1143,2311
"268","2021/09/26",232,831,1676
"269","2021/09/27",488,1084,2556
"270","2021/09/28",715,2419,6825
"271","2021/09/29",364,1288,2755
"272","2021/09/30",543,1362,3606
"273","2021/10/01",457,1298,3608
"274","2021/10/02",291,1361,3080
"275","2021/10/03",274,789,1472
"276","2021/10/04",842,4008,7041
"277","2021/10/05",243,969,2118
"278","2021/10/06",503,1515,4076
"279","2021/10/07",583,2123,4638
"280","2021/10/08",1600,3394,6894
"281","2021/10/09",335,1221,2517
"282","2021/10/10",121,442,910
"283","2021/10/11",684,1472,4221
"284","2021/10/12",287,1150,2730
"285","2021/10/13",661,2279,5036
"286","2021/10/14",578,2253,4508
"287","2021/10/15",836,1843,5083
"288","2021/10/16",509,1222,2797
"289","2021/10/17",312,1093,2203
"290","2021/10/18",899,2866,6488
"291","2021/10/19",463,2027,4458
"292","2021/10/20",267,1314,3054
"293","2021/10/21",703,2656,6780
"294","2021/10/22",528,2398,5479
"295","2021/10/23",480,2120,4227
"296","2021/10/24",210,667,2095
"297","2021/10/25",797,2876,7162
"298","2021/10/26",422,1894,4571
"299","2021/10/27",366,1692,3865
"300","2021/10/28",354,958,2906
"301","2021/10/29",386,1538,4298
"302","2021/10/30",768,1814,3813
"303","2021/10/31",198,820,1718
"304","2021/11/01",121,524,1482
"305","2021/11/02",197,755,2822
"306","2021/11/03",257,718,2829
"307","2021/11/04",194,630,2431
"308","2021/11/05",276,639,2377
"309","2021/11/06",266,1274,3454
"310","2021/11/07",256,788,2157
"311","2021/11/08",332,1192,3159
"312","2021/11/09",182,670,2042
