"","date","positive","negative","neutral"
"72","2021-03-13",8,26,41
"73","2021-03-14",1,21,44
"74","2021-03-15",4,14,73
"75","2021-03-16",1,11,76
"76","2021-03-17",13,17,99
"77","2021-03-18",1,17,53
"78","2021-03-19",6,10,52
"79","2021-03-20",3,11,37
"80","2021-03-21",3,7,16
"81","2021-03-22",1,25,78
"82","2021-03-23",7,21,55
"83","2021-03-24",9,14,56
"84","2021-03-25",3,13,65
"85","2021-03-26",0,16,39
"86","2021-03-27",0,5,18
"87","2021-03-28",4,29,27
"88","2021-03-29",0,26,52
"89","2021-03-30",19,37,136
"90","2021-03-31",7,32,39
"91","2021-04-01",5,27,32
"92","2021-04-02",1,6,17
"93","2021-04-03",1,2,9
"94","2021-04-04",0,0,11
"95","2021-04-05",4,1,8
"96","2021-04-06",9,7,15
"97","2021-04-07",15,19,105
"98","2021-04-08",1,24,122
"99","2021-04-09",8,16,46
"100","2021-04-10",0,10,28
"101","2021-04-11",2,8,37
"102","2021-04-12",1,10,50
"103","2021-04-13",3,7,57
"104","2021-04-14",19,38,225
"105","2021-04-15",9,71,264
"106","2021-04-16",10,27,141
"107","2021-04-17",5,38,72
"108","2021-04-18",9,20,54
"109","2021-04-19",4,47,65
"110","2021-04-20",5,27,64
"111","2021-04-21",3,16,64
"112","2021-04-22",5,11,64
"113","2021-04-23",13,8,40
"114","2021-04-24",8,12,36
"115","2021-04-25",31,34,88
"116","2021-04-26",3,14,41
"117","2021-04-27",15,26,56
"118","2021-04-28",17,1,98
"119","2021-04-29",7,18,30
"120","2021-04-30",5,13,33
"121","2021-05-01",4,13,37
"122","2021-05-02",7,38,43
"123","2021-05-03",22,63,99
"124","2021-05-04",27,61,117
"125","2021-05-05",18,13,81
"126","2021-05-06",32,44,78
"127","2021-05-07",32,46,149
"128","2021-05-08",19,9,113
"129","2021-05-09",3,6,38
"130","2021-05-10",4,10,66
"131","2021-05-11",19,41,102
"132","2021-05-12",6,43,70
"133","2021-05-13",17,45,95
"134","2021-05-14",15,34,67
"135","2021-05-15",24,32,87
"136","2021-05-16",23,70,150
"137","2021-05-17",9,53,139
"138","2021-05-18",29,89,252
"139","2021-05-19",50,267,403
"140","2021-05-20",37,160,297
"141","2021-05-21",10,139,240
"142","2021-05-22",17,116,206
"143","2021-05-23",46,142,231
"144","2021-05-24",20,153,260
"145","2021-05-25",36,133,252
"146","2021-05-26",81,263,497
"147","2021-05-27",325,1134,1965
"148","2021-05-28",825,3598,5709
"149","2021-05-29",472,1893,2732
"150","2021-05-30",156,1172,1315
"151","2021-05-31",172,938,1505
"152","2021-06-01",219,844,1402
"153","2021-06-02",176,731,1358
"154","2021-06-03",156,803,1648
"155","2021-06-04",132,640,1315
"156","2021-06-05",91,505,877
"157","2021-06-06",146,534,1323
"158","2021-06-07",111,459,1089
"159","2021-06-08",162,541,1065
"160","2021-06-09",184,881,2019
"161","2021-06-10",216,744,1515
"162","2021-06-11",337,1559,2188
"163","2021-06-12",334,1417,2243
"164","2021-06-13",119,585,1050
"165","2021-06-14",83,383,815
"166","2021-06-15",97,404,841
"167","2021-06-16",140,682,1384
"168","2021-06-17",123,972,1410
"169","2021-06-18",309,1461,2705
"170","2021-06-19",362,1392,2382
"171","2021-06-20",939,3313,5375
"172","2021-06-21",582,2019,3864
"173","2021-06-22",478,2044,4562
"174","2021-06-23",541,1621,4046
"175","2021-06-24",450,1493,2992
"176","2021-06-25",409,1406,2775
"177","2021-06-26",196,860,1714
"178","2021-06-27",161,563,1470
"179","2021-06-28",290,842,2250
"180","2021-06-29",473,1165,3422
"181","2021-06-30",1683,4083,8185
"182","2021-07-01",798,1779,3695
"183","2021-07-02",1018,1169,3012
"184","2021-07-03",822,2059,3681
"185","2021-07-04",844,1928,3739
"186","2021-07-05",741,1910,4084
"187","2021-07-06",592,1166,2576
"188","2021-07-07",469,1096,2493
"189","2021-07-08",458,1027,2663
"190","2021-07-09",583,1619,3677
"191","2021-07-10",553,1658,3616
"192","2021-07-11",604,2567,5367
"193","2021-07-12",915,2246,5728
"194","2021-07-13",1795,4741,10278
"195","2021-07-14",1000,3527,7000
"196","2021-07-15",1577,6078,11784
"197","2021-07-16",1592,6343,11684
"198","2021-07-17",927,3751,6714
"199","2021-07-18",974,4317,7920
"200","2021-07-19",845,4270,6968
"201","2021-07-20",467,2313,4043
"202","2021-07-21",285,1566,3272
"203","2021-07-22",446,2312,4666
"204","2021-07-23",415,1736,3575
"205","2021-07-24",273,2346,3894
"206","2021-07-25",466,3351,5857
"207","2021-07-26",489,2834,4866
"208","2021-07-27",497,2645,5141
"209","2021-07-28",565,3572,6819
"210","2021-07-29",466,2452,4226
"211","2021-07-30",570,3568,4504
"212","2021-07-31",488,1734,2640
"213","2021-08-01",290,1776,2891
"214","2021-08-02",268,1274,2960
"215","2021-08-03",545,3174,5708
"216","2021-08-04",710,2983,5682
"217","2021-08-05",522,2383,4306
"218","2021-08-06",421,1902,3856
"219","2021-08-07",432,3539,6037
"220","2021-08-08",413,2349,4499
"221","2021-08-09",520,4193,5732
"222","2021-08-10",500,2625,4375
"223","2021-08-11",464,2213,3849
"224","2021-08-12",564,2207,3986
"225","2021-08-13",314,1217,2273
"226","2021-08-14",229,864,1685
"227","2021-08-15",384,2303,4416
"228","2021-08-16",419,1308,2632
"229","2021-08-17",315,1442,2674
"230","2021-08-18",311,1447,3447
"231","2021-08-19",184,1080,2223
"232","2021-08-20",238,1939,2711
"233","2021-08-21",119,743,1154
"234","2021-08-22",104,421,1013
"235","2021-08-23",296,721,1351
"236","2021-08-24",281,1542,2273
"237","2021-08-25",257,1406,2419
"238","2021-08-26",259,2190,3084
"239","2021-08-27",274,1484,2939
"240","2021-08-28",230,1200,2788
"241","2021-08-29",344,1612,2919
"242","2021-08-30",530,2288,3957
"243","2021-08-31",228,1619,2574
"244","2021-09-01",436,3134,4721
"245","2021-09-02",201,1311,2464
"246","2021-09-03",183,1019,1789
"247","2021-09-04",248,1242,2055
"248","2021-09-05",189,907,1562
"249","2021-09-06",103,700,1377
"250","2021-09-07",137,778,1508
"251","2021-09-08",132,885,1734
"252","2021-09-09",222,1417,2559
"253","2021-09-10",333,1682,3468
"254","2021-09-11",346,2604,4264
"255","2021-09-12",248,2432,3464
"256","2021-09-13",297,2154,4155
"257","2021-09-14",658,4141,6697
"258","2021-09-15",3012,16794,22828
"259","2021-09-16",3949,18465,29729
"260","2021-09-17",1698,6199,10249
"261","2021-09-18",527,2383,4501
"262","2021-09-19",225,1077,1822
"263","2021-09-20",140,496,1164
"264","2021-09-21",310,1085,2934
"265","2021-09-22",256,944,2471
"266","2021-09-23",306,1254,2794
"267","2021-09-24",262,964,2291
"268","2021-09-25",207,658,1421
"269","2021-09-26",167,757,1665
"270","2021-09-27",281,725,2101
"271","2021-09-28",265,935,2716
"272","2021-09-29",262,812,2239
"273","2021-09-30",240,819,2252
"274","2021-10-01",177,1086,2037
"275","2021-10-02",297,2252,2843
"276","2021-10-03",199,861,1246
"277","2021-10-04",219,843,1688
"278","2021-10-05",228,1329,2190
"279","2021-10-06",262,1118,2250
"280","2021-10-07",383,1138,3214
"281","2021-10-08",366,986,2980
"282","2021-10-09",168,590,1534
"283","2021-10-10",66,216,528
"284","2021-10-11",267,842,2461
"285","2021-10-12",224,650,1930
"286","2021-10-13",170,694,2241
"287","2021-10-14",247,506,1484
"288","2021-10-15",273,824,2531
"289","2021-10-16",217,686,1470
"290","2021-10-17",154,420,1196
"291","2021-10-18",136,536,2120
"292","2021-10-19",253,1553,3894
"293","2021-10-20",132,873,2455
"294","2021-10-21",145,732,2490
"295","2021-10-22",161,886,2507
"296","2021-10-23",108,525,1523
"297","2021-10-24",99,498,1237
"298","2021-10-25",236,930,2842
"299","2021-10-26",86,344,1640
"300","2021-10-27",69,398,1108
"301","2021-10-28",52,262,918
"302","2021-10-29",66,221,932
"303","2021-10-30",58,390,911
"304","2021-10-31",168,221,830
"305","2021-11-01",273,488,1888
"306","2021-11-02",145,492,1811
"307","2021-11-03",413,1443,3413
"308","2021-11-04",323,1301,3221
"309","2021-11-05",112,374,1322
"310","2021-11-06",42,189,850
"311","2021-11-07",55,125,546
"312","2021-11-08",61,139,809
"313","2021-11-09",111,373,1591
