"","date","positive","negative","neutral"
"155","2021-06-05",914,4569,6319
"156","2021-06-06",597,2578,3371
"157","2021-06-07",384,2225,3569
"158","2021-06-08",496,2608,4056
"159","2021-06-09",422,2278,4046
"160","2021-06-10",752,3525,5449
"161","2021-06-11",1010,4879,6536
"162","2021-06-12",1060,6283,8740
"163","2021-06-13",680,3333,5534
"164","2021-06-14",645,4417,5120
"165","2021-06-15",1383,3099,5673
"166","2021-06-16",1383,7393,10082
"167","2021-06-17",1475,9387,12678
"168","2021-06-18",1334,8926,11390
"169","2021-06-19",1163,6042,7721
"170","2021-06-20",1309,6922,9321
"171","2021-06-21",1005,4045,6330
"172","2021-06-22",1604,5548,8516
"173","2021-06-23",721,3475,5575
"174","2021-06-24",753,3346,5335
"175","2021-06-25",1055,3554,5416
"176","2021-06-26",337,2560,3410
"177","2021-06-27",342,2066,2781
"178","2021-06-28",370,1202,2274
"179","2021-06-29",390,1700,3065
"180","2021-06-30",421,1800,2704
"181","2021-07-01",392,1883,2576
"182","2021-07-02",301,1274,1841
"183","2021-07-03",307,1480,2298
"184","2021-07-04",293,1101,1562
"185","2021-07-05",491,1741,2991
"186","2021-07-06",837,2710,4726
"187","2021-07-07",472,2503,3784
"188","2021-07-08",618,2128,3759
"189","2021-07-09",476,2687,4018
"190","2021-07-10",368,2070,2819
"191","2021-07-11",488,2322,4292
"192","2021-07-12",961,3140,6166
"193","2021-07-13",2734,8572,14690
"194","2021-07-14",1457,5464,9360
"195","2021-07-15",2147,7896,14070
"196","2021-07-16",2029,7101,12807
"197","2021-07-17",2085,7610,12559
"198","2021-07-18",1720,7561,11297
"199","2021-07-19",2157,6344,11455
"200","2021-07-20",1312,3730,7117
"201","2021-07-21",1463,3682,7974
"202","2021-07-22",971,2735,5792
"203","2021-07-23",1017,2640,5261
"204","2021-07-24",525,1682,3458
"205","2021-07-25",758,3003,5571
"206","2021-07-26",1122,4084,9094
"207","2021-07-27",1622,4438,10804
"208","2021-07-28",1110,3610,7513
"209","2021-07-29",839,3072,6063
"210","2021-07-30",695,3585,5206
"211","2021-07-31",824,2400,3800
"212","2021-08-01",335,1288,2419
"213","2021-08-02",540,1428,3286
"214","2021-08-03",540,2079,4063
"215","2021-08-04",527,1817,3365
"216","2021-08-05",457,1665,2928
"217","2021-08-06",777,2510,5050
"218","2021-08-07",648,3364,5816
"219","2021-08-08",754,2733,4751
"220","2021-08-09",447,2367,4290
"221","2021-08-10",307,1698,2679
"222","2021-08-11",440,2151,3449
"223","2021-08-12",843,3420,6208
"224","2021-08-13",579,2079,3686
"225","2021-08-14",324,1046,1964
"226","2021-08-15",206,963,1420
"227","2021-08-16",414,1673,2878
"228","2021-08-17",397,1719,3133
"229","2021-08-18",340,1335,2917
"230","2021-08-19",304,1172,2246
"231","2021-08-20",260,1288,2231
"232","2021-08-21",256,1103,1789
"233","2021-08-22",327,1158,2505
"234","2021-08-23",567,1355,2552
"235","2021-08-24",526,2354,3602
"236","2021-08-25",484,2735,4246
"237","2021-08-26",517,3406,5379
"238","2021-08-27",504,2594,4988
"239","2021-08-28",687,3503,8424
"240","2021-08-29",1197,4636,9975
"241","2021-08-30",720,2610,4889
"242","2021-08-31",908,4007,8167
"243","2021-09-01",744,3701,6391
"244","2021-09-02",454,2141,3960
"245","2021-09-03",739,2685,6432
"246","2021-09-04",725,2850,5131
"247","2021-09-05",1054,4259,8328
"248","2021-09-06",710,2584,6292
"249","2021-09-07",510,1431,3598
"250","2021-09-08",553,1564,3962
"251","2021-09-09",948,3472,8485
"252","2021-09-10",1458,5682,12695
"253","2021-09-11",931,3736,8022
"254","2021-09-12",2748,2794,5230
"255","2021-09-13",633,2197,4639
"256","2021-09-14",1105,2962,6202
"257","2021-09-15",939,3060,5463
"258","2021-09-16",876,2978,6296
"259","2021-09-17",524,1833,3753
"260","2021-09-18",328,1195,2327
"261","2021-09-19",199,946,1675
"262","2021-09-20",270,871,1913
"263","2021-09-21",136,475,985
"264","2021-09-22",218,908,1859
"265","2021-09-23",303,984,2190
"266","2021-09-24",317,973,1982
"267","2021-09-25",248,749,1890
"268","2021-09-26",336,937,3106
"269","2021-09-27",511,1761,5063
"270","2021-09-28",394,2091,6139
"271","2021-09-29",250,1138,2925
"272","2021-09-30",289,852,2470
"273","2021-10-01",203,573,1806
"274","2021-10-02",119,509,1270
"275","2021-10-03",82,428,872
"276","2021-10-04",434,2767,5600
"277","2021-10-05",239,1689,2795
"278","2021-10-06",213,952,2396
"279","2021-10-07",118,582,1103
"280","2021-10-08",188,649,1668
"281","2021-10-09",182,490,1285
"282","2021-10-10",100,373,734
"283","2021-10-11",191,477,1593
"284","2021-10-12",311,916,2694
"285","2021-10-13",294,1075,3101
"286","2021-10-14",280,929,1955
"287","2021-10-15",336,1199,2879
"288","2021-10-16",188,714,1377
"289","2021-10-17",145,508,1255
"290","2021-10-18",148,617,2161
"291","2021-10-19",258,1410,3522
"292","2021-10-20",177,738,2166
"293","2021-10-21",652,2705,6617
"294","2021-10-22",530,2171,4751
"295","2021-10-23",526,2594,4302
"296","2021-10-24",200,702,1455
"297","2021-10-25",278,951,2603
"298","2021-10-26",359,1596,3737
"299","2021-10-27",397,964,2915
"300","2021-10-28",637,772,3071
"301","2021-10-29",147,594,1901
"302","2021-10-30",134,685,1569
"303","2021-10-31",68,276,649
"304","2021-11-01",151,423,1194
"305","2021-11-02",310,1117,3369
"306","2021-11-03",496,1624,4453
"307","2021-11-04",282,1232,3372
"308","2021-11-05",167,495,1874
"309","2021-11-06",303,1081,3228
"310","2021-11-07",299,1131,2907
"311","2021-11-08",313,1582,3491
"312","2021-11-09",252,1002,2622
